번호,지역,업종,상호,주소,연락처,객실수,기타
257,탄현면,농어촌민박,모던하우스,경기도 파주시 탄현면 국원말길 41-5,010-3247-9338,3,
258,탄현면,농어촌민박,헬렌하우스,경기도 파주시 탄현면 국원말길 43,"010-4042-5974
010-3712-5512",2,
259,탄현면,농어촌민박,헤이리힐스109,경기도 파주시 탄현면 국원말길 42-1,010-3164-9629,1,
260,탄현면,농어촌민박,앤스테이하우스,경기도 파주시 탄현면 국원말길 42,010-3668-2117,1,
261,탄현면,농어촌민박,호재,경기도 파주시 탄현면 국원말길 39-2,010-7129-1787,2,
262,탄현면,농어촌민박,스테이소프트,경기도 파주시 탄현면 국원말길 42-2,010-5352-0137,1,
263,탄현면,농어촌민박,야미하우스,경기도 파주시 탄현면 국원말길 39,010-3347-4339,1,
264,탄현면,농어촌민박,태양스테이,경기도 파주시 탄현면 국원말길 41-1,010-3150-9051,1,
265,탄현면,농어촌민박,4색여행,경기도 파주시 탄현면 국원말길 41-3,"010-9622-3538
010-5347-5932",2,
266,탄현면,농어촌민박,헤이리힐스102,경기도 파주시 탄현면 국원말길 42-8,010-2753-7890,1,
267,탄현면,농어촌민박,세이스테이,경기도 파주시 탄현면 국원말길 42-5,010-9490-1020,1,
268,법원읍,농어촌민박,초호,경기도 파주시 법원읍 초리골길 138-17,010-3254-0029,7,
269,탄현면,농어촌민박,헤이리힐스101,경기도 파주시 탄현면 국원말길 42-9,010-5119-4377,1,
270,탄현면,농어촌민박,헤이리395,경기도 파주시 탄현면 국원말길 39-5,010-4034-3393,1,
271,탄현면,농어촌민박,품스테이,경기도 파주시 탄현면 국원말길 39-6,010-3276-3203,1,
272,적성면,농어촌민박,감악산계곡쉼터,경기도 파주시 적성면 설마천로 152,"010-9960-1392
010-7364-4949",4,
273,탄현면,농어촌민박,템플엑스,경기도 파주시 탄현면 헤이리마을길82-138,010-7689-0324,2,
274,탄현면,농어촌민박,들꽃향기,경기도 파주시 조리읍 수레길 191-173,010-4762-0399,1,
275,탄현면,농어촌민박,12th forest,경기도 파주시 탄현면 국원말길 39-4 212호 1층,010-4409-1640,1,
276,탄현면,농어촌민박,청춘여관,경기도 파주시 탄현면 헤이리로 133번길 30-15,010-3695-4679,2,
277,탄현면,농어촌민박,여유작당,경기도 파주시 탄현면 가시내길 151-5,010-6217-4972,1,
278,탄현면,농어촌민박,해뜨는마을,경기도 파주시 운정4길 222-31,010-2638-6055,1,
279,교하동,농어촌민박,메종드유유,경기도 파주시 돌곶이길 173-35,010-3888-8197,1,
280,교하동,농어촌민박,스테이유유,경기도 파주시 돌곶이길 173-41,010-9876-1315,1,
281,탄현면,농어촌민박,소리별,경기도 파주시 탄현면 매봉길 121,010-9089-6940,5,
282,탄현면,농어촌민박,몽이네,경기도 파주시 탄현면 국원말길 134-25,010-3737-3489,3,
283,파평면,농어촌민박,그곳에가면,경기도 파주시 파평면 화석정로 126번길 108,010-7736-8783,2,
284,문산읍,농어촌민박,파울재,경기도 파주시 문산읍 사목로 26번길 29,010-7147-2028,2,
285,문산읍,농어촌민박,아메리카노,경기도 파주시 탄현면 국원말길 69-26,010-8033-6636,3,
286,조리읍,농어촌민박,stay-494-43,경기도 파주시 조리읍 통일로 494-43,010-9281-2407,1,
287,교하동,농어촌민박,군자정,경기도 파주시 산남로 141번길 54-15,010-6350-9194,1,
288,교하동,농어촌민박,루이스테이,경기도 파주시 산남로 107번길 35-74,010-3321-7450,1,
289,교하동,농어촌민박,풀밭,경기도 파주시 쌀뚜기길 22-37,010-3928-1959,1,
290,법원읍,농어촌민박,초리골펜션,경기도 파주시 법원읍 초리골길 189,010-3803-8236,3,
291,법원읍,농어촌민박,파주스테이,경기도 파주시 법원읍 초리골길 515-17,010-2274-2378,2,
292,탄현면,농어촌민박,테라리움A,경기도 파주시 탄현면 웅지로 110번길 68-6,010-5407-9044,2,
293,법원읍,농어촌민박,산들펜션,경기도 파주시 법원읍 만월로 505-41,010-5737-1512,2,
294,파주읍,농어촌민박,중휴림 테마궁,경기도 파주시 파주읍 바리골길 198-186,010-9880-2314,2,
295,탄현면,농어촌민박,"더, 머뭄",경기도 파주시 탄현면 국원말길 69-67,010-8814-9871,3,
296,탄현면,농어촌민박,헤이리힐스 103호,경기도 파주시 탄현면 국원말길 42-7,010-4824-5459,1,
297,교하동,농어촌민박,스테이 세모정원,경기도 파주시 하지석길 141-15,010-4613-1099,1,
298,파주읍,농어촌민박,베가스테이,경기도 파주시 파주읍 새봉암길 160-26,010-8698-1724,3,
299,법원읍,농어촌민박,로뎀프리,경기도 파주시 법원읍 칡울길 25-11,010-8707-4766,3,
300,장단면,농어촌민박,해마루촌60,경기도 파주시 진동면 높은음자리길 46,010-9016-5965,4,
301,탄현면,농어촌민박,풀펜션 워라밸,경기도 파주시 탄현면 풍뎅이길 34-7,010-9263-5516,3,
302,법원읍,농어촌민박,펜션별헤는밤1,경기도 파주시 만월로 505-39,010-9794-3600,5,
303,적성면,농어촌민박,애니펜션,경기도 파주시 윗배우니길 463-11,010-6322-7771,5,
304,금촌3동,농어촌민박,스테이파주,경기도 파주시 평화로 384-14,010-6323-9719,1,
305,금촌3동,농어촌민박,라온하우스,경기도 파주시 평화로 384-6,010-5347-5932,5,
306,탄현면,농어촌민박,채움하우스,경기도 파주시 탄현면 국원말길 39-1,010-4715-6391,2,
307,교하동,농어촌민박,소라지,경기도 파주시 소라지로177번길 12,010-6594-3456,2,
308,문산읍,농어촌민박,파파홈(문산점),경기도 파주시 문현말길 53-54,010-4054-9066,1,
309,탄현면,농어촌민박,청풍명월,"경기도 파주시 탄현면 방촌로 955번길 237, 2층",010-7396-0555,2,
310,탄현면,농어촌민박,하이키즈펜션,경기도 파주시 탄현면 새오리로 161번길 13-33,010-5003-0980,1,
311,운정4동,농어촌민박,요한이네,경기도 파주시 운정안길 99-15,010-3373-9744,3,
312,금촌3동,농어촌민박,헤이리힐스106호,경기도 파주시 평화로 386-18,010-3119-8538,4,
313,탄현면,농어촌민박,161키즈펜션,경기도 파주시 탄현면 새오리로161번길 13-29,010-4444-7090,1,
314,금촌3동,농어촌민박,에뜨랑제,경기도 파주시 평화로 384-10,010-9790-7728,2,
315,금촌3동,농어촌민박,헤이리힐스115,경기도 파주시 평화로 386-3,010-6379-2813,1,
316,조리읍,농어촌민박,작은연당stay,경기도 파주시 조리읍 작은연당길 30,010-6637-1767,1,
317,금촌3동,농어촌민박,SiRo,경기도 파주시 평화로 386-7,010-8727-2634,2,
318,운정4동,농어촌민박,사우다지 운정,경기도 파주시 하우3길 116-7,010-2289-3981,2,
319,법원읍,농어촌민박,머스트화이트2동,경기도 파주시 법원읍 초리골길 515-5,010-8654-9511,2,
320,법원읍,농어촌민박,머스트화이트1동,경기도 파주시 법원읍 초리골길 515-5,010-8304-7110,2,
321,탄현면,농어촌민박,오뉴와,경기도 파주시 탄현면 사슴벌레로 73번길 36,010-3043-7175,2,
322,적성면,농어촌민박,파주감악산펜션,경기도 파주시 적성면 청송로 1066번길 29,010-8409-5420,3,
323,금촌3동,농어촌민박,"숲속,헤이리114","경기도 파주시 평화로 386-5, 114호",010-9810-8550,1,
324,월롱면,농어촌민박,온리원스테이,경기도 파주시 월롱면 월롱면초교길 135-10,010-7122-2841,1,
325,교하동,농어촌민박,샬롬하우스,경기도 파주시 소라지로 255-9,010-3317-7007,1,
326,금촌3동,농어촌민박,110헤이리,경기도 파주시 평화로 386-11,010-6302-2260,2,
327,금촌3동,농어촌민박,퍼니제이,경기도 파주시 평화로 386-13,010-3295-5925,2,
328,교하동,농어촌민박,자유로스테이,경기도 파주시 산남로120번길 11,010-9183-3477,2,
329,탄현면,농어촌민박,새오리,경기도 파주시 탄현면 새오리로 420,010-6789-9273,2,
330,교하동,농어촌민박,포이에마,경기도 파주시 하지석길 211-9,010-2367-8177,1,
331,탄현면,농어촌민박,농가민박,경기도 파주시 탄현면 요풍길 85-20,010-9212-4765,1,
332,탄현면,농어촌민박,새오리330,경기도 파주시 탄현면 새오리로 330-12,010-7319-7121,1,
333,탄현면,농어촌민박,산남문고,경기도 파주시 탄현면 새오리로339번길 5-82,010-9495-4984,1,
334, 문산읍,농어촌민박,오늘,경기도 파주시 문산읍 충의로 124번길 18,010-2465-0887,2,
335,금촌3동,농어촌민박,하람하우스,경기도 파주시 평화로 386-15,010-2819-9915,2,
336,문산읍,농어촌민박,마정리'머뭄',경기도 파주시 문산읍 마정로146번길 37,010-7527-3987,1,
337,탄현면,농어촌민박,순수민박,경기도 파주시 탄현면 가시내길 242,010-9975-8100,2,
338,운정4동,농어촌민박,프로방스하우스,경기도 파주시 운정4길 150,010-8470-0644,3,
339,탄현면,농어촌민박,바플하우스,경기도 파주시 탄현면 소금쟁이길 55-4,010-4164-9503,2,
340,파평면,농어촌민박,들벗,경기도 파주시 파평면 청송로 446번길 37-58,010-6497-8068,2,
341,탄현면,농어촌민박,j&j펜션,경기도 파주시 탄현면 국원말길 39-3,010-9973-7825,1,
342,탄현면,농어촌민박,청기와,경기도 파주시 탄현면 장릉로85번길 57-15,010-5401-3613,1,
343,금촌1동,농어촌민박,사바이,경기도 파주시 앞골길 161-3,010-3123-9800,2,
344,탄현면,농어촌민박,베조아니,경기도 파주시 탄현면 헤이리마을길 59-126,010-5476-7252,1,
345,탄현면,농어촌민박,팡팡펜션,경기도 파주시 탄현면 새오리로 161번길 94,010-5850-7785,3,
346,적성면,농어촌민박,아미고,경기도 파주시 적성면 솥뒤로 15-6,010-2600-4092,1,
347,장단면,농어촌민박,디엠지스테이,경기도 파주시 진동면 높은음자리길 102,010-2626-8199,2,
348,교하동,농어촌민박,락가든 민박,경기도 파주시 돌곶이길 173-45,010-9008-3287,2,
349,탄현면,농어촌민박,오슬레,경기도 파주시 탄현면 새오리로 113-13,010-5056-5336,4,
350,탄현면,농어촌민박,아늑,경기도 파주시 탄현면 방촌로 999-18,010-6702-5636,2,
351,운정4동,농어촌민박,가온,경기도 파주시 운정1길 91-32,010-6702-5636,2,
352,운정4동,농어촌민박,코티지,경기도 파주시 운정1길 91-40,010-3475-3422,2,
353,월롱면,농어촌민박,덕은펜션,경기도 파주시 월롱면 용주서원길 48,010-9757-7376,1,
354,탄현면,농어촌민박,행복담,경기도 파주시 탄현면 새오리로 318-30,010-2500-9387,1,
355,탄현면,농어촌민박,행복담 B동,경기도 파주시 탄현면 새오리로 318-24,010-7388-2833,1,
356,문산읍,농어촌민박,소노하우스,경기도 파주시 문산읍 율곡로 123번길 1-21,010-3290-0929,3,
357,탄현면,농어촌민박,콩이네,경기도 파주시 탄현면 요풍길 68-46,010-5152-1621,2,
358,탄현면,농어촌민박,lotto,경기도 파주시 탄현면 새오리로 20,010-3977-3922,3,
